NGC_#	Con	Type	RA_2000	Declination	Mag	Size	Hershel_#	Observation Notes
4536	VIR	Sc	12 34.5	#ERROR!	12.3	7.0'X2.8'	H V 2	Bright, large, very much elongated 3.5 X 1 in PA 110, much brighter middle, a companion to the north is faint, pretty large, round and little brighter in the middle at 135X.
4371	VIR	GALXY	12 25.0	#ERROR!	12.1	4.5'X2.1'	H I 22	pretty bright, considerably large, elongated 2X1, much brighter in the middle and has a bright nucleus at 100X.
4654	VIR	GALXY	12 44.0	#ERROR!	11.3	5.3'X2.9'	H II 126	Bright, large, much brighter middle, elongated 2 X 1 in PA 120 at 100X. The core is also elongated in same PA.
4435	VIR	E4	12 27.7	#ERROR!	11.9	3.2'X1.9'	H I 28	pretty bright, pretty large, somewhat elongated.
4594	VIR	Sa	12 39.9	-11 37	9.3	8.9'X4.1'	H I 43	(M 104) bright, large, much elongated 3X1 E-W and very much brighter middle at 100X. The Sombrero Galaxy has an immediately noticed dark lane which is offset so that the nucleus sits on it.
4643	VIR	SBa	12 43.4	#ERROR!	11.9	3.0'X3.0'	H I 10	Pretty bright, pretty large, much brighter middle, little elongated 1.2 X 1 in PA 135 at 135X.
4365	VIR	GALXY	12 24.5	#ERROR!	11.5	5.5'X4.5'	H I 30	bright, pretty large, elongated 1.5X1, somewhat brighter middle at 100X.
4596	VIR	SBa	12 40.0	#ERROR!	12.4	4.5'X4.0'	H I 24	Pretty bright, pretty large, much brighter middle, little elongated 1.5 X 1 in PA 110 at 100X.
4438	VIR	Sap	12 27.8	#ERROR!	12	9.7'X3.9'	H I 28	bright, pretty large, very much elongated, much brighter in the middle. 4438 and 4435 are elongated in the same PA.
4570	VIR	E8	12 36.9	#ERROR!	11.8	4.2'X1.2'	H I 32	Pretty bright, pretty large, brighter middle, much elongated 2.5 X 1 in PA 165 at 100X.
4550	VIR	GALXY	12 35.6	#ERROR!	12.5	3.3'X0.9'	H I 36	Pretty bright, pretty large, brighter middle, much elongated at 2.5 X 1 in PA 0 at 100X. M 89 is in the field.
4546	VIR	GALXY	12 35.5	-03 47	11.3	3.5'X1.7'	H I 160	Pretty bright, pretty large, much elogated 2.5 X 1 in PA 90, much brighter middle, with a 10th mag star to the SE at 135X.
4535	VIR	SBc	12 34.4	#ERROR!	11.1	7.8'X7.0'	H II 500	Pretty bright, large, much brighter middle, stellar nucleus at 165X. It is little elongated 1.2 X 1 in PA 0. Very mottled with several stars involved.
4526	VIR	E7	12 34.1	#ERROR!	10.6	7.0'X2.7'	H I 31	Bright, pretty large, much brighter middle, much elongated 2.5 X 1 in PA 120 at 100X. This is a nice spindle shape, Averted vision helps this galaxy quite a bit.
4478	VIR	E1	12 30.4	#ERROR!	12.2	1.7'X1.4'	H II 124	Pretty bright, small, very bright middle, round at 100X. This is the closer of two companions to M 87 on the SW side.
4442	VIR	GALXY	12 28.1	#ERROR!	11.2	4.5'X1.8'	H II 156	Pretty bright, pretty large, much brighter in the middle, much elongated 2.5 X 1 in PA 80 at 100X. There is a faint double star 5 arcmin to the south.
4636	VIR	GALXY	12 42.9	#ERROR!	11.8	7.0'X5.0'	H II 38	Bright, pretty large, irregularly round, high surface brightness, much, much brighter middle with a very bright nucleus at 165X.
6940	VUL	OPNCL	20 34.6	#ERROR!	6.3	31.0'	H VII 8	Bright, large, rich, quite compressed at 100X. This cluster is easy in the 11 X 80 finder. I estimated 80 members, many in lovely chains of stars. There is an interresting feature of this cluster, it is bordered in black. A dark lane goes almost all the way around the dense star cluster, as if the stars were gathered up and left behind dark lanes.
6802	VUL	OPNCL	19 30.6	#ERROR!	8.8	3.2'	H VI 14	Bright, pretty large, elongated 2 X 1, much compressed at 165X. 15 stars were counted on a mottled surface and this cluster stood out from the Milky Way very nicely. There are two sets of doubles stars that "guard" this cluster on either side, both pairs of stars are light orange and white.
6823	VUL	OPNCL	19 43.1	#ERROR!	7.1	12.0'	H VII 18	Pretty bright, pretty large and pretty rich cluster at 100X. 28 stars were counted with the central 4 stars forming a tiny (20") quadruple system.
6830	VUL	OPNCL	19 51.0	#ERROR!	7.9	12.0'	H VII 9	Bright, pretty large, pretty rich and somewhat compressed at 100X. This cluster stands out nicely, with 58 stars counted.
6882	VUL	OPNCL	20 11.7	#ERROR!	8.1	18.0'	H VIII 22	Pretty bright, large, not compressed, pretty poor and scattered group on about 40 stars at 100X.
6885	VUL	OPNCL	20 12.0	#ERROR!	5.7	7.0'	H VIII 20	Bright, pretty large, rich and somewhat compressed at 100X. The cluster consists of the bright star 20 Vulpeculae and 35 pretty faint companions. Very interesting group.
