Sharpless Index,Description
274,"The Medusa nebula, Abell 21, is a 8800 year old planetary nebula.These images from Dean Salman also show the larger surrounding nebulosity."
275,"This is the Rosette Nebula, one of the most beautiful sights in the Milky Way. The star cluster NGC 2244, part of the Mon OB2 association, contains about 2000 stars and forms a blister at one end of the 130 thousand solar mass Rosette molecular cloud. About 30 of these stars are hot enough to ionise the nebula.Avedisova places the Rosette nebula in star formation region SFR 206.30-2.11 with 114 components, including 6 masers, 34 infrared sources and the radio source W16.Near by the Rosette molecular cloud are two smaller clouds associated with the HII regions Sh 2-280 and Sh 2-282.You can find out more about this region in the Mon OB2 section of the description of the Fox Fur and Rosette (210Â° - 200Â°) sector in the Commentary on the Galactic Plane.An astonishing image that shows the entire Monoceros region in one image (including the Fox Fur nebula) can be found here."
276,"Barnard's Loop is a ring of ionised gas that appears to surround the Flame (Sh 2-277) and Orion (Sh 2-281) nebulae and is the brightest portion of the much larger Orion-Eridanus superbubble. Many researchers assume that Barnard's Loop is physically associated with these nebulae and the Orion molecular clouds. However, a 2005 study argues that Barnard's Loop is considerably closer than the gas that makes up the main portion of the Orion molecular clouds.This image shows only a small portion of the nebula. You can see the full Loop here."
277,"This is the Flame nebula, also known as the radio source W 12 and contained within the molecular cloud Orion B. It is associated with the star cluster NGC 2024 and is largely ionised by the obscured O8-O9.7 star 2MASS J05414580-0154297. It can be seen in a similar direction as the O9.5Ib multiple supergiant Alnitak (Zeta Orionis), one of the three prominent hot young stars in Orion's belt.You can see a spectacular view of the Flame nebula and the nearby Horsehead nebula in this image."
278,"This is the high latitude cloud MBM 110. Avedisova places it in star formation region SFR 206.70-20.5 along with the dark nebula LDN 1634 and the reflection nebula NGC 1788.You can view a beautiful image of this nebula here."
279,"Located near in the sky to the Orion nebula, Sh 2-279 is often called the Running Man nebula and is a combination of a reflection nebula and an HII region. Sharpless says that this nebula is ionised by the B3 star HD 37018 (42 Orionis). (SIMBAD gives a hotter B1 V class.) Kharchenko places this star in the star cluster NGC 1977. A 1977 paper agrees that HD 37018 ionises Sh 2-279, and adds that Sh 2-279 is an HII region that includes the star clusters NGC 1973, NGC 1975 and NGC 1977. (SIMBAD identifies these objects as ""bright nebula"" rather than star clusters.)Avedisova places Sh 2-279 in star formation region SFR 210.76-19.61 with a number of better known objects, including the nebula IC 430, the HII regions M 43 and NGC 1999, the star clusters NGC 1977 and NGC 1980 and the dark nebula LDN 1647.You can view a beautiful image of this nebula here."
280,"The HII region Sh 2-280 appears to be located near or at the edge of the Rosette molecular cloud. Avedisova suggests two possible ionising stars, the O7 HD 46573 and the B0 III giant HD 46847. A 1981 paper also states that the ionising star for this HII region is HD 46573. HD 46573 may be an outlying star of the NGC 2244 cluster, which ionises Sh 275, the Rosette nebula.You can view good images of Sh 2-280 on Dean Salman's site here."
281,"This is the Orion nebula, best known as Messier 42. It is located within the Orion A molecular cloud and is ionised by the Trapezium (Theta-1 Orionis) multiple star system, dominated by the O6 V class multiple Theta-1 Orionis C.There are thousands of good images of the Orion nebula available on-line. Two of the most interesting are the Spitzer infrared view and this incredibly detailed Hubble view."
282,"The ionising star of this HII region, the pulsating variable O9.5III giant HD 47432 (the bright star in the upper part of the image), is probably a member of the Mon OB2 association. The HII region contains a system of eight cometary globules."
283,"Sh 2-283 includes the infrared cluster [BDS2003] 84 and according to Avedisova is ionised by an uncatalogued B0 V class star (MFJ Sh 2-283 8).Russeil concludes the Sh 2-283 to Sh 2-286 are all part of one star formation region located in the Milky Way's Cygnus (Outer) arm. These nebulae are described in detail in the description of the Monoceros Arc (220Â° - 210Â°) sector in the Commentary on the Galactic Plane."
284,"This large complex of HII regions is associated with the 6 million year old low metal star cluster Dolidze 25 and is one of the few relatively unobscured major star formation regions in the outer galaxy.Russeil concludes the Sh 2-283 to Sh 2-286 are all part of one star formation region located in the Milky Way's Norma (Outer) arm. These nebulae are described in detail in the description of the Monoceros Arc (220Â° - 210Â°) sector in the Commentary on the Galactic Plane.You can see an excellent hydrogen-alpha image of this nebula here and a combined infrared and hydrogen-alpha image here."
285,"Sh 2-285 contains at least two B0 V stars (LS VI -0 9 and MFJ Sh 2-285 1) and the infrared cluster [BDS2003] 85.Russeil concludes the Sh 2-283 to Sh 2-286 are all part of one star formation region located in the Milky Way's Cygnus (Outer) arm. These nebulae are described in detail in the description of the Monoceros Arc (220Â° - 210Â°) sector in the Commentary on the Galactic Plane."
286,"Sh 2-286 contains the infrared cluster [BDS2003] 88 and appears in the direction of the molecular cloud [MAB97] 217.38-1.38.Russeil concludes the Sh 2-283 to Sh 2-286 are all part of one star formation region located in the Milky Way's Cygnus (Outer) arm. These nebulae are described in detail in the description of the Monoceros Arc (220Â° - 210Â°) sector in the Commentary on the Galactic Plane."
287,"Sh 2-287 appears to be associated with the massive cold Maddalena's cloud in the Perseus arm. It contains 4000-5000 solar masses of gas and dust and a bipolar nebula, NS 14 (BFS 57). Avedisova concludes that Sh 2-287 is ionised by the O9.5 V star LS VI -04 19 and places it in star formation region 218.12-0.38 with 19 components, including the eight sources of the infrared complex FT 91 ([FT96] 218.1-0.4), several other infrared sources, and the Herbig-Haro object HH 227.You can read more about Sh 2-287 and the larger region it is part of in the Sh 2-287 and the Maddalena cloud section of the description of the Monoceros Arc (220Â° - 210Â°) sector in the Commentary on the Galactic Plane."
288,"This HII region, also called IC 466, is ionised by an O9V star.You can see a slightly more detailed image here."
289,"Avedisova concludes that Sh 2-289 is ionised by the B0.5 V class LSS 86 and an uncatalogued B1 V class star (MFJ Sh 2-289 2). Curiously, she omits two other ionising stars mentioned by MFJ: LS 85 and MFJ Sh 2-289 4. (Both are B-class according to SIMBAD.)One huge distance estimate of more than ten thousand parsecs may place this nebula beyond even the Cygnus (Outer) arm. However, closer estimates are also available.Sh 2-289 is located well below the galactic plane, and this may in part be related to an outer galaxy warp in the third quadrant which bends the galactic disk downwards.See the Other Outer Arm Objects section in the description of the Monoceros Arc (220Â° - 210Â°) sector in the Commentary on the Galactic Plane for more information and detailed references."
290,"This is the planetary nebula Abell 31.You can see a brighter image of this nebula here."
291,"Avedisova associates Sh 2-291 with the carbon star EM Mon and places them both in the star formation region 220.52-2.77.The available distance estimates place Sh 2-291 in the Cygnus (Outer) arm.No ionising star appears to have been identified in the scientific literature.Dean Salman has imaged Sh 2-291 together with the nearby BFS 63 in this image."
292,"The head of the Seagull nebula is both an HII region and reflection nebula (VDB 93). It is part of the CMa OB1 association and is ionised by the B0IV:e subgiant HD 53367, a young 20 solar mass star with a 5 solar mass companion in a highly elliptical orbit.Avedisova places this nebula in star formation region SFR 224.20-1.60 with other parts of the Seagull nebula.You can find good images of both the head and the wings of the Seagull nebula here and here and read a detailed commentary on the Seagull (230Â° - 220Â°) sector, which is part of the Commentary on the Galactic Plane"
293,"Sh 2-293 is a roughly spherical nebula that appears in front of the right wing of the much larger Seagull nebula.According to Avedisova, Sh 2-293 is ionised by the B2 III giant HD 52721. SIMBAD gives a slightly different B2Vne class for this star and identifies it as the illuminating source for the reflection nebula VDB 88, implying that Sh 2-293 may be both an HII region and reflection nebula.Avedisova places it in star formation region SFR 224.20-1.60 with other parts of the Seagull nebula. However, in a 1989 study she places Sh 2-293 at a distance of about 750 parsecs, which is considerably closer than the other parts of the Seagull nebula, implying that it may be a foreground object.You can read a detailed commentary on the Seagull (230Â° - 220Â°) sector, which is part of the Commentary on the Galactic Plane.You can see a labeled diagram of parts of the Seagull nebula region (including Sh 2-293) at the bottom left of this page.You can see Sh 2-293 and Sh 2-295 together in this image by astrophotographer Dean Salman."
294,"According to Avedisova this HII region is ionised by an uncatalogued B0.5 V star (MFJ Sh 2-294 4). It contains the loose infrared star cluster [BDS2003] 95 which is divided into two sub-clusters, the denser one surrounding the ionising star.Its odd shape looks like an upside down octopus - should it perhaps be called the Octopus nebula?"
295,"A small HII region located in front of the right wing of the Seagull nebula. Avedisova says that it is ionised by three B2 V class stars: HD 52942, HD 53010 and BD -11 1761. She places it in star formation region SFR 224.20-1.60 with other parts of the Seagull nebula. However, in a 1989 paper she gives a distance estimate of about 700 parsecs, closer than the main portion of the Seagull nebula and implying that it may be a foreground object.SIMBAD lists HD 52942 as the illuminating star for the reflection nebula VDB 90a and BD -11 1761 as the illuminating star for the reflection nebula VDB 92b, implying that the HII region surrounds several reflection nebulae.You can read a detailed commentary on the Seagull (230Â° - 220Â°) sector, which is part of the Commentary on the Galactic Plane.You can see a labeled diagram of parts of the Seagull nebula region (including Sh 2-293) at the bottom left of this page.You can see Sh 2-293 and Sh 2-295 together in this image by astrophotographer Dean Salman."
296,"This large nebula forms the wings of the Seagull Nebula and in hydrogen-alpha can be seen to be an ionised shell surrounding the CMa OB1 star association (also sometimes identified as the CMa R1 association).Avedisova lists 4 ionising stars for Sh 2-296, including 3 B-class stars and the O6.5V star HD 54662. (SIMBAD gives an O7III class for this star.) She places it in star formation region SFR 224.20-1.60 with other parts of the Seagull nebula.You can find good images of both the head and the wings of the Seagull nebula here and here and read a detailed commentary on the Seagull (230Â° - 220Â°) sector, which is part of the Commentary on the Galactic Plane."
297,"This HII region and reflection nebula is located at the tip of the right wing of the Seagull nebula. It is also known as the reflection nebula VDB 94. It is located next to the cold dark nebula LDN 1657A.Avedisova lists 5 possible ionising stars, including the O7.5 V star HD 53975, the O9.5 V star HD 54879 and the B1 II/III star HD 53623. (SIMBAD gives the class of HD 53975 as B7, too cool to be an ionising star. SIMBAD may be incorrect, however.) She places Sh 2-297 in star formation region SFR 224.20-1.60 with other parts of the Seagull nebula.You can find good images of both the head and the wings of the Seagull nebula here and here and read a detailed commentary on the Seagull (230Â° - 220Â°) sector, which is part of the Commentary on the Galactic Plane.You can see more of the surrounding nebulosity in this image by Dean Salman and more detail in the nebula itself in this image by Adam Block."
298,"Nicknamed Thor's Helmet, this nebula (also called NGC 2359) is a wind blown bubble ionised by the Wolf-Rayet star WR 7 (HD 56925).You can view much better images of Thor's Helmet here and here."
299,"Avedisova combines Sh 2-299 and Sh 2-300 into the star formation region SFR 230.98+1.49 and says that they are ionised by three B0-class stars: LSS 465 (MFJ SH 2-299 1), LSS 478 (MFJ SH 2-300 1) and the supergiant LSS 480 (MFJ SH 2-300 6).A 1995 paper places Sh 2-299, Sh 2-300, Sh 2-305, Sh 2-306, Sh 2-307 and Sh 2-309 into the same giant molecular cloud complex. A 1996 paper places Sh 2-305 to Sh 2-309 into molecular cloud [JKK96] D within the enormous infrared ring called the GS234-02 supershell, in the Perseus arm.You can view the enormous dust ring around the supershell in this WISE infrared image. Sh 2-299 and Sh 2-300 also appear in this direction."
300,"Avedisova combines Sh 2-299 and Sh 2-300 into the star formation region SFR 230.98+1.49 and says that they are ionised by three B0-class stars: LSS 465 (MFJ SH 2-299 1), LSS 478 (MFJ SH 2-300 1) and the supergiant LSS 480 (MFJ SH 2-300 6).A 1995 paper places Sh 2-299, Sh 2-300, Sh 2-305, Sh 2-306, Sh 2-307 and Sh 2-309 into the same giant molecular cloud complex. A 1996 paper places Sh 2-305 to Sh 2-309 into molecular cloud [JKK96] D within the enormous infrared ring called the GS234-02 supershell, within the Perseus arm.You can view the enormous dust ring around the supershell in this WISE infrared image. Sh 2-299 and Sh 2-300 also appear in this direction."
301,"According to Avedisova, Sh 2-301 is ionised by the O6 V star LSS 207 and the B1 V star LSS 212 and places it in star formation region SFR 231.44-4.41 along with several reflection nebulae including Bran 6 and Bran 7 A-D.This HII region may be associated with the GS234-02 supershell.You can see another image of this region here."
302,"This HII region lies within the molecular cloud [JKK96] A and is located well in front of the GS234-02 supershell. It contains the infrared star cluster [DBS2003] 4. Avedisova concludes that it is ionised by stars associated with the Bochum 5 cluster, including the O9.5 V star HD 59986, and places it in star formation region SFR 232.56+0.89, along with several other HII regions and reflection nebulae including VDB 97.The class for HD 59986 is supported by a 1995 paper by Russeil, the Georgelins and colleagues. SIMBAD, however, gives the class for HD 59986 as B5, which would make it too cool to be an ionising star.Here's another image of this object from an astrophotographer who imaginatively calls it the Snowman nebula."
303,"According to a 1982 study, this nebula is ionised by the Wolf-Rayet star WR 6 (EZ CMa) along with Sh 2-304 and Sh 2-308. However, a look at this region in hydrogen-alpha suggests that Sh 2-303 is the brightest part of a ring that appears to surround several B class giants, including LS 92 (B2/3 III) and HD 51200 (B2 III/IV). So it seems as though WR 6 may not be the only ionising star for this nebula.Avedisova includes Sh 2-303 = Bran 3 in the star formation region SFR 233.40-9.42 along with the smaller nebula Bran 1."
304,"According to a 1982 study, this nebula is ionised by the Wolf-Rayet star WR 6 (EZ CMa) along with Sh 2-304 and Sh 2-308. However, a look at this region in hydrogen-alpha suggests that Sh 2-304 lies at some distance from WR 6 and forms the brightest portion of a long ridge that lies below the large Gum 8 / Sh 2-310 HII region. The ridge may be ionised by the combined radiation from the many hot stars in this region."
305,"Sh 2-305 is ionised by at least two O-class stars ([VM75] Sh 2-305 4 (O8.5 V) and [VM75] Sh 2-305 2 (O9.5 V)), and possibly two B0 class stars as well. It contains the loose infrared cluster [DBS2003] 5.Avedisova places this nebula in star formation region SFR 233.75-0.18 along with 5 infrared sources, a water maser and the star cluster Mayer 3.A 1995 paper places Sh 2-299, Sh 2-300, Sh 2-305, Sh 2-306, Sh 2-307 and Sh 2-309 into the same giant molecular cloud complex. A 1996 paper places Sh 2-305 to Sh 2-309 into molecular cloud [JKK96] D within the enormous infrared ring called the GS234-02 supershell, in the Perseus arm.You can view the enormous dust ring around the supershell in this WISE infrared image. Sh 2-299 and Sh 2-300 also appear in this direction."
306,"Avedisova lists three ionising O-stars for this nebula, including the hot O5 V star LSS 458. The others are the O9 III giant LSS 499 and the O9.5 III giant LSS 467.A 1995 paper places Sh 2-299, Sh 2-300, Sh 2-305, Sh 2-306, Sh 2-307 and Sh 2-309 into the same giant molecular cloud complex. A 1996 paper places Sh 2-305 to Sh 2-309 into molecular cloud [JKK96] D within the enormous infrared ring called the GS234-02 supershell, in the Perseus arm.You can view the enormous dust ring around the supershell in this WISE infrared image. Sh 2-299 and Sh 2-300 also appear in this direction.A part of the much brighter Sh 2-309 (RCW 13) is visible in the bottom left of this image."
307,"Avedisova lists the ionising stars as the O9 V BD -18 1920 and the B3 III giant LSS 566. Other sources also include the B0V star MFJ Sh 2-307 3. The nebula contains the infrared cluster candidate [DBS2003] 8.A 1995 paper places Sh 2-299, Sh 2-300, Sh 2-305, Sh 2-306, Sh 2-307 and Sh 2-309 into the same giant molecular cloud complex. A 1996 paper places Sh 2-305 to Sh 2-309 into molecular cloud [JKK96] D within the enormous infrared ring called the GS234-02 supershell, in the Perseus arm.You can view the enormous dust ring around the supershell in this WISE infrared image. Sh 2-299 and Sh 2-300 also appear in this direction.Both Avedisova and a 2007 paper, however, give much closer distance estimates and thus appear to exclude this nebula from the supershell.You can view a good Dean Salman image of this nebula here."
308,"This ring nebula surrounds the Wolf-Rayet star WR 6 (EZ CMa), which is one of the closest Wolf-Rayet stars to our solar system and may also partially ionise Sh 2-303 and Sh 2-304.This distance to WR 6 is a matter of some controversy. The Hipparcos astrometric satellite results were used in 1997 to determine a parallax suggesting a distance of about 575 parsecs. However, other researchers strongly disagreed with this estimate and proposed distances of up to three times this amount.A revised Hipparcos analysis published in 2007 using the same data determined a very different parallax and a distance of about 1400 pc, much closer to other estimates.A striking narrow-band image here shows the strong ionised oxygen emission from Sh 2-308, which the photographer calls the Gourd nebula."
309,"Avedisova concludes that Sh 2-309 is ionised by the star cluster Bochum 6, including the O9 III giant LSS 499. She places it in star formation region SFR 234.76-0.20 along with the HII region Bran 42 and the emission star SS73 6.The nebula contains the loose infrared cluster [DBS2003] 9.A 1995 paper places Sh 2-299, Sh 2-300, Sh 2-305, Sh 2-306, Sh 2-307 and Sh 2-309 into the same giant molecular cloud complex. A 1996 paper places Sh 2-305 to Sh 2-309 into molecular cloud [JKK96] D within the enormous infrared ring called the GS234-02 supershell, in the Perseus arm.You can view the enormous dust ring around the supershell in this WISE infrared image. Sh 2-299 and Sh 2-300 also appear in this direction."
310,"This vast nebula, one of the largest single HII regions known in the Milky Way, is ionised by two multiple star systems (Tau Canis Majoris and UW Canis Majoris) each made up of several O-class stars. This image shows only the brightest part of the enormous Sh 2-310 complex. The intense radiation from the Tau Canis Majoris and UW Canis Majoris star systems has created a cavity in the molecular clouds at the centre of Sh 2-310, which is located beyond the upper right of the image.Avedisova places Sh 2-310 in the star formation region SFR 237.25-6.50 with 62 components, including 4 masers, 14 infrared sources and the dark nebulae LDN 1660 and LDN 1664.At least one scientific paper notes the ""arrow-shaped bright rim"" shown in this image. Perhaps Sh 2-310 should be known as the Arrowhead nebula?"
311,"NGC 2467, sometimes called the Mandrill nebula, is ionised by the ultrahot O3 V star HD 64568, the O6 IV subgiant HD 64315, and the B0 V star LSS 830, according to Avedisova. Besides the NGC 2467 star cluster itself, it includes the star clusters Haffner 18 and Haffner 19. The bright foreground star on the far left of the image is the B8 IV subgiant HD 64455.It lies in the direction of the Pup OB1 and Pup OB2 associations (which overlap in the sky).A good image of NGC 2467 is available in several resolutions from the European Southern Observatory. (Note: the ESO image is rotated 90 degrees, with north to the right.)"
312,"There is nothing much in the scientific literature about this object. BFS comments that it is ""Too large and diffuse for meaningful observations"". This image shows only a tiny fragment of a vast region of nebulosity. It is the fourth object in the Sharpless catalog by area of apparent sky covered. Perhaps it is a fragment of the even larger Gum nebula?"
313,"This is the planetary nebula Abell 35. Like Sh 2-52 (Abell 65), it has a highly unusual binary central star.You can see a much better image of this nebula on Dean Salman's Sharpless nebula image site."
